"medians",""
"0.467767338363216","mass.g"
"0.001119867543808","BMR"
"0.603712534383297","eq"
"0.410830617736892","abundance"
"0.589380494630607","density"
"0.367479513877037","home.range"
"0.636830274851132","shannon"
"0.748134115522599","simpson"
"0.515366161647527","gr.size"
"0.468588142264732","ges.days"
"0.405380518688739","interbirth.days"
"0.374780387263404","weaning.days"
"0.446664634839362","longevity"
"0.615656649350092","litter"
"0.0960163751796382","Afrotropic"
"0.293018983991842","Indomalaya"
"0.433210288601594","Nearctic"
"0.78696033411664","Neotropic"
"0.8093621260255","Palearctic"
"0.783095736860371","a"
"0.382415794204384","sa"
"0.194888853373949","sc"
"0.756860469702975","sf"
"0.538269073738796","sr"
"0.0331960783314547","t"
"0.673040447555027","X1"
"0.576286841685101","X2"
"0.64841463852982","X3"
"0.317305534266332","X4"
"0.531482161021031","X5"
"0.113271766078808","Cath.Cre"
"0.00867465601618808","Diu"
"0.180881756852596","Noc"
"0.149112516913348","X0"
"0.576792990496891","X1.1"
"0.321049893182497","X2.1"
"0.190502840718059","X3.1"
"0.599735326257284","X4.1"
"0.585947249095419","X5.1"
"0.487779036230635","X6"
